Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Highlight Fur Color,Location,Running,Chasing,Climbing,Eating,Foraging,Hectare Squirrel Number
37F-PM-1014-03,PM,10142018,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,3
37E-PM-1006-03,PM,10062018,Adult,Gray,Cinnamon,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,3
2E-AM-1010-03,AM,10102018,Adult,Cinnamon,,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,3
5D-PM-1018-05,PM,10182018,Juvenile,Gray,,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,5
39B-AM-1018-01,AM,10182018,,,,Above Ground,FALSE,FALSE,FALSE,FALSE,FALSE,1
33H-AM-1019-02,AM,10192018,Juvenile,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,2
6G-PM-1020-02,PM,10202018,Adult,Gray,,Ground Plane,TRUE,TRUE,FALSE,FALSE,FALSE,2
35C-PM-1013-03,PM,10132018,,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,3
7B-AM-1008-09,AM,10082018,Adult,Gray,,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,9
32E-PM-1017-14,PM,10172018,Adult,Gray,,,FALSE,FALSE,FALSE,TRUE,TRUE,14
13E-AM-1017-05,AM,10172018,Adult,Gray,Cinnamon,Above Ground,FALSE,FALSE,FALSE,FALSE,TRUE,5
11H-AM-1010-03,AM,10102018,Adult,Cinnamon,White,,FALSE,FALSE,FALSE,FALSE,TRUE,3
36H-AM-1010-02,AM,10102018,Adult,Gray,,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,2
33F-AM-1008-02,AM,10082018,Adult,Gray,,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,2
21C-PM-1006-01,PM,10062018,Adult,Gray,,Ground Plane,FALSE,FALSE,FALSE,FALSE,FALSE,1
11D-AM-1010-03,AM,10102018,Adult,Gray,Cinnamon,Above Ground,FALSE,FALSE,TRUE,FALSE,FALSE,3
20B-PM-1013-05,PM,10132018,Adult,Gray,White,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,5
36I-PM-1007-01,PM,10072018,Adult,Gray,Cinnamon,Ground Plane,FALSE,FALSE,FALSE,FALSE,TRUE,1
5C-PM-1010-09,PM,10102018,Adult,Cinnamon,Gray,Ground Plane,TRUE,FALSE,FALSE,FALSE,FALSE,9
